Time (seconds),Temperature,Light Level
5.18,22,152
6.15,22,98
7.15,21,46
8.15,21,0
9.15,22,0
10.15,21,0
11.15,21,0
12.15,21,0
13.15,21,0
14.15,21,0
15.15,21,0
16.15,21,77
17.15,21,184
18.15,21,224
19.15,21,197
20.15,21,191
21.15,21,202
22.15,21,177
23.15,22,122
24.15,22,161
25.15,22,181
26.15,22,171
27.15,22,0
28.15,22,0
29.15,22,0
30.15,22,66
31.15,22,102
32.15,22,0
33.15,22,72
34.15,22,49
35.15,21,47
36.15,22,57
37.15,22,0
38.15,22,137
39.15,22,102
40.15,22,157
41.15,22,164
42.15,22,150
43.15,22,0
44.15,22,0
45.15,22,0
46.15,22,147
47.15,22,169
48.15,22,165
49.15,21,187
50.15,22,209
51.15,21,223
52.15,22,225
53.15,21,223
54.15,21,218
55.15,21,170
56.15,21,116
57.15,21,94
58.15,21,92
59.15,21,38
60.15,21,0
61.15,21,0
62.15,21,0
63.15,21,0
64.15,21,0
65.15,21,7
66.15,22,0
67.15,22,0
68.15,21,0
69.15,21,0
70.15,21,0
71.15,21,0
72.15,21,0
73.15,21,0
74.15,21,0
75.15,21,0
76.15,21,0
77.15,21,0
78.15,21,0
79.15,21,0
80.15,21,0
81.15,21,0
82.15,21,0
83.15,21,0
84.15,22,0
85.15,22,0
86.15,22,0
87.15,22,0
88.15,22,0
89.15,22,139
90.15,22,70
91.15,22,96
92.15,22,118
93.15,22,102
94.15,22,113
95.15,22,120
